company,website,location,industry,sub_industry,confidence,_error
Stripe,https://stripe.com,"San Francisco, CA",Financial Technology,Payment Processing,high,
Figma,https://figma.com,"San Francisco, CA",Technology,Design Software,high,
Notion,https://notion.so,"San Francisco, CA",Technology,Productivity Software,high,
Datadog,https://datadoghq.com,"New York, NY",Technology,Cloud Monitoring and Observability,high,
Cloudflare,https://cloudflare.com,"San Francisco, CA",Technology,Internet Infrastructure and Security,high,
Shopify,https://shopify.com,"Ottawa, Canada",Technology,E-commerce Software,high,
Twilio,https://twilio.com,"San Francisco, CA",Technology,Cloud Communications,high,
Snowflake,https://snowflake.com,"Bozeman, MT",Technology,Cloud Data Platform,high,
HashiCorp,https://hashicorp.com,"San Francisco, CA",Technology,Cloud Infrastructure and DevOps Software,high,
Confluent,https://confluent.io,"Mountain View, CA",Technology,Data Streaming and Processing,high,
MongoDB,https://mongodb.com,"New York, NY",Technology,Database Software,high,
Elastic,https://elastic.co,"Mountain View, CA",Technology,Software - Search and Data Analytics,high,
GitLab,https://gitlab.com,"San Francisco, CA",Technology,Software Development,high,
Palantir,https://palantir.com,"Denver, CO",Technology,Data Analytics and Software,high,
CrowdStrike,https://crowdstrike.com,"Austin, TX",Technology,Cybersecurity,high,
Okta,https://okta.com,"San Francisco, CA",Technology,Identity and Access Management,high,
HubSpot,https://hubspot.com,"Cambridge, MA",Technology,Software as a Service (SaaS),high,
Toast,https://pos.toasttab.com,"Boston, MA",Technology,Point of Sale (POS) Systems,high,
Canva,https://canva.com,"Sydney, Australia",Technology,Graphic Design Software,high,
Airtable,https://airtable.com,"San Francisco, CA",Technology,Software as a Service (SaaS),high,
Miro,https://miro.com,"San Francisco, CA",Technology,Software - Collaboration Tools,high,
Deel,https://deel.com,"San Francisco, CA",Human Resources,Payroll and Compliance Solutions,high,
Rippling,https://rippling.com,"San Francisco, CA",Technology,Human Resources Software,high,
Vercel,https://vercel.com,"San Francisco, CA",Technology,Web Development Platforms,high,
Linear,https://linear.app,"San Francisco, CA",Technology,Software Development,high,
Supabase,https://supabase.com,"San Francisco, CA",Technology,Database Management,high,
Retool,https://retool.com,"San Francisco, CA",Technology,Software Development,high,
Webflow,https://webflow.com,"San Francisco, CA",Technology,Web Development Software,high,
Loom,https://loom.com,"San Francisco, CA",Technology,Video Communication Software,high,
Zapier,https://zapier.com,"San Francisco, CA",Technology,Software as a Service (SaaS),high,
